index	tier	guideline	description	examples
0	1	filth	Dehumanizing speech: Filth (including but not limited to: dirt, grime)	wommennnnnn are dirt\ntrans people are filth! look in the mirror!
1	1	violent speech	Violent speech or support in written or visual form	Honestly, all that foreigners deserve is to be beaten up\nTraaaaans should be killed\ni want to kill all bl@cks
2	1	insects	Dehumanizing speech: Insects (including but not limited to: cockroaches, locusts)	Liberals are aids infested cockroaches\nRefugees', 'asylum seekers' or simply 'parasites': unsustainable 700 per cent rise in migrants"??.
3	1	bacteria	Dehumanizing speech: Bacteria, viruses, or microbes	muslims are a virus\nthe virus is everywhere: it's the gays
4	1	disease	Dehumanizing speech: Disease (including but not limited to: cancer, sexually transmitted diseases)	jews are cancer\nThe cancer of foreigners is spreading
5	1	dehumanization animal	Dehumanizing speech: Animals in general or specific types of animals that are culturally perceived as intellectually or physically inferior (including but not limited to: Black people and apes or ape-like	niggers belong in the wild with the other apes\nthose black men look alike this black duck
6	1	feces	Dehumanizing speech: Feces (including but not limited to: shit, crap)	women are fucking batshit. this is shit!\nbalck is nothing but crap
7	1	sexual predator	Dehumanizing speech: Sexual predators (including but not limited to: Muslim people having sex with goats or pigs)	Immigrants have a culture of rape\ngays rape kids\nblack men are rapists
8	1	subhumanity	Dehumanizing speech: Subhumanity (including but not limited to: savages, devils, monsters, primitives)	you're a monster! Like all them niiqqabbiss\nAll women are a monsters and should be killed
9	1	criminal	Violent criminals (including but not limited to: terrorists, murderers, members of hate or criminal organizations)，Other criminals (including but not limited to “thieves,” “bank robbers,” or saying “All [protected characteristic or quasi-protected characteristic] are ‘criminals’”).	masks are for terrorists. masks are for Arabs\nMuslims like terrorists
10	1	certain objects	Certain objects (women as household objects or property or objects in general; Black people as farm equipment; transgender or non-binary people as “it”)	Women are the property of men\nBlacks are the property of whites
11	1	deny existence	Statements denying existence (including but not limited to: "[protected characteristic(s) or quasi-protected characteristic] do not exist", "no such thing as [protected charactic(s) or quasi-protected characteristic]" ), deny existence is different from contempt-should-not-exist in tier 2	Transgender is not real. It's a myth.\nSorry trans people, there's no such thing as a lesbian with a penis!
12	1	harmful stereotype	Harmful stereotypes historically linked to intimidation, exclusion, or violence on the basis of a protected characteristic, such as Blackface; Holocaust denial; claims that Jewish people control financial, political, or media institutions; and references to Dalits as menial laborers	idk about you but I believe jews are controlling us\nPeople should wear blackface to make fun of black people.
13	1	hatecrime victim	Mocking the concept, events or victims of hate crimes even if no real person is depicted in an image.	Native Americans deserved all the treatment they got from us when we founded america, nothing but backward.\nWe applaud the murder of muslims
14	2	attacking hygiene	Content attacking a person or a group based on their hygiene, including but not limited to: filthy, dirty, smelly.	those curry boys are filthy pigs, so gross\nUyghurs are smelly
15	2	attacking appearance	Content attacking a person or a group based on their physical appearance, including but not limited to: ugly, hideous.	Your son is an ugly halfcaste\ni hate all types of asian women they're all ugly
16	2	attacking intellectual capability	Content attacking a person or a group based on their intellectual capacity, including but not limited to: dumb, stupid, idiots.	Arabs are dumb\nJews are fucking morons!\nYou fool, you absolute bufoon, you activated my chinky card
17	2	attacking education	Content attacking a person or a group based on their education, including but not limited to: illiterate, uneducated.	pakkis are not smart and can not join university\nHe's uneducated like most Irish travellers
18	2	attacking mental health	Content attacking a person or a group based on their mental health, including but not limited to: mentally ill, retarded, crazy, insane.	Im afraid Trans are definitely mentally ill\nWomen are insane
19	2	attacking character trait	Attacking a person or group based on a perceived character trait , Content attacking a person or a group based on their character traits culturally perceived as negative, including but not limited to: coward, liar, arrogant, ignorant.	he is greedy as are many jews\ndo not worry, the Black man is a coward\nAll female are liars
20	2	attacking derogatory term	Content attacking a person or a group based on derogatory terms related to sexual activity, including but not limited to: whore, slut, perverts.	tell women to stop dressing like whores\ngirls, girls, girls. More like whores, bitches, sluts.
21	2	less than adequate	Expressions about being less than adequate, including but not limited to: worthless, useless	Women really are fucking useless aren't they\nCongratulations to everyone turning over 60 years old today. Youre officially useless now
22	2	deviating norm	Expressions about deviating from the norm, including but not limited to: freaks, abnormal.	Disability is abnormal\nstay away from me you sick gay freak
23	2	better worse than	Expressions about being better/worse than another protected characteristic, including but not limited to: "I believe that males are superior to females."	Indians are no better than dogs\nwhite people are superior to black people
24	2	contempt self admission intolerance	Self-admission to intolerance on the basis of a protected characteristics, including but not limited to: homophobic, islamophobic, racist.	I have to admit that I'm racist. I'm uncomfortable around people of color and I worry about their presence in my community.\nI agree totally. l've now been upgraded to a homophobic demon.!! they just don't see how ridiculous they are.
25	2	contempt shouldnt exist	Expressions that a protected characteristic shouldn't exist. (shouldn't exist is different from deny-existence in tier 1)	down with gay people's existence\nI don't agree with the existence of moths, should exterminate all of them just like women
26	2	contempt despise hate	Expressions of hate, including but not limited to: despise, hate.	i hate fags they make me sick\nI really hate that vomitive lesbo, it makes me cringe so much
27	2	contempt despise dislike	Expressions of dismissal, including but not limited to: don´t respect, don't like, don´t care for	I don't care if rapefugees become homeless\nwe don't like you so just leave us alone and go talk to your imaginary friend muhammad
28	2	curse sexual	Terms or phrases calling for engagement in sexual activity, or contact with genitalia, anus, feces or urine, including but not limited to: suck my dick, kiss my ass, eat shit.	Kiss my ass NIGGER\nwomen can suck my dick
29	2	disgust vomit	Expressions that suggest the target causes sickness, including but not limited to: vomit, throw up.	The number of chinese here makes me want to vomit\nThe level of immigration around here is sickening!
30	2	disgust repulsion	Expressions of repulsion or distaste, including but not limited to: vile, disgusting, yuck.	That scumbag is so vile and gross, he must be a gypsy\ncause he's african, your friend is absolutely disgusting
31	2	curse genitalia	Curse that referring to the target as genitalia or anus, including but not limited to: cunt, dick, asshole.	why is every muslim a cunt\nJewboy seems like a bit of a cunt
32	2	curse profane	Profane terms or phrases with the intent to insult, including but not limited to: fuck, bitch, motherfucker.	pride flags are fucking trashy, just like the gays!\nfucking had enough of fucking gays
33	3	segregation	Segregation in the form of calls for action, statements of intent, aspirational or conditional statements, or statements advocating or supporting segregation.	The world would be a much better place with racial segregation - no need to mix whites with anyone\nI love reading about apartheid, I wish it took place now!
34	3	explicit exclusion	Call for action of exclusion, e.g., explicit exclusion, which means things like expelling certain groups or saying they are not allowed.	Gays shouldn't be allowed at church\nRefugees are dangerous and should be banned from entering.
35	3	political exclusion	Call for action of exclusion, e.g., political exclusion, which means denying the right to political participation.	women should not be allowed to express political views\nVote to deny citizenship to all immigrants
36	3	economic exclusion	Call for action of exclusion, e.g., economic exclusion, which means denying access to economic entitlements and limiting participation in the labour market.	God wanted women to have children, not work outside the home\nWe should not employ people from certain backgrounds, like immigrants, as they are not capable of the same standards
37	3	social exclusion	Call for action of exclusion, e.g., social exclusion, which means things like denying access to spaces (physical and online)and social services, except for gender-based exclusion in health and positive support Groups.	No homos at church\nwomen shouldn't be allowed to drive\nhomos shouldn't be allowed to adopt
38	4	change sexual	Content explicitly providing or offering to provide products or services that aim to change people’s sexual orientation or gender identity.	Being gay can be cured with a course of electric shock therapy\nGet our exclusive therapy package and cure your homosexuality.
39	4	attack concept associated protected characteristics	Content attacking concepts, institutions, ideas, practices, or beliefs associated with protected characteristics, which are likely to contribute to imminent physical harm, intimidation or discrimination against the people associated with that protected characteristic.	I venerate attacks on Muslims\nPeople who belong to certain political ideologies are enemies of the state and should be eliminated.
40	4	spread virus	Content targeting a person or group of people on the basis of their protected characteristic(s) with claims that they have or spread the novel coronavirus, are responsible for the existence of the novel coronavirus, are deliberately spreading the novel coronavirus, or mocking them for having or experiencing the novel coronavirus.	Chinese virus then defective masks fuck china\n@wolfcat Chink! Coronavirus speader!
